run_id	selection_id	terminal_state	core_qc_pass	pair_identity	accession_identity	core_checksum	qv_h1	qv_h2	busco_h1	busco_h2	copy_number_kmer_h1	copy_number_kmer_h2	repeat_mask	maximum_query_overlap_depth	maximum_target_overlap_depth	retained_query_multiplicity_gt_one	retained_target_multiplicity_gt_one	h1_ref_mismatches	h2_reconstruction_failures	callable_universe_bp	callable_bp	callable_reason_total_bp	callable_accounting_discrepancy_bp	vcf_consensus_psmc_consistent	bootstrap_attempts	bootstrap_successes	bootstrap_success_fraction	unscaled_scenario_separation	reason_codes
vgp10-20260718-preflight-v1	P01	FAILED_PREFLIGHT	false	pass	pass	pass	missing_not_measured	missing_not_measured	available_h1_only	missing_not_measured	missing_not_measured	missing_not_measured	missing_not_measured	not_measured_preflight_failed	not_measured_preflight_failed	0	0	not_measured_preflight_failed	not_measured_preflight_failed	not_materialized	not_materialized	not_materialized	not_measured	not_applicable_no_outputs	0	0	not_applicable_no_attempts	not_applicable_no_outputs	MISSING_EXACT_FINAL_SEQUENCE_QV;MISSING_H2_BUSCO;MISSING_KMER_COPY_NUMBER_AUDIT;MISSING_REPEAT_OR_LOW_COMPLEXITY_MASK
vgp10-20260718-preflight-v1	P02	FAILED_PREFLIGHT	false	pass	pass	pass	missing_not_measured	missing_not_measured	available_h1_only	missing_not_measured	missing_not_measured	missing_not_measured	missing_not_measured	not_measured_preflight_failed	not_measured_preflight_failed	0	0	not_measured_preflight_failed	not_measured_preflight_failed	not_materialized	not_materialized	not_materialized	not_measured	not_applicable_no_outputs	0	0	not_applicable_no_attempts	not_applicable_no_outputs	MISSING_EXACT_FINAL_SEQUENCE_QV;MISSING_H2_BUSCO;MISSING_KMER_COPY_NUMBER_AUDIT;MISSING_REPEAT_OR_LOW_COMPLEXITY_MASK
vgp10-20260718-preflight-v1	P03	FAILED_PREFLIGHT	false	pass	pass	pass	missing_not_measured	missing_not_measured	available_h1_only	missing_not_measured	missing_not_measured	missing_not_measured	missing_not_measured	not_measured_preflight_failed	not_measured_preflight_failed	0	0	not_measured_preflight_failed	not_measured_preflight_failed	not_materialized	not_materialized	not_materialized	not_measured	not_applicable_no_outputs	0	0	not_applicable_no_attempts	not_applicable_no_outputs	MISSING_EXACT_FINAL_SEQUENCE_QV;MISSING_H2_BUSCO;MISSING_KMER_COPY_NUMBER_AUDIT;MISSING_REPEAT_OR_LOW_COMPLEXITY_MASK
vgp10-20260718-preflight-v1	P04	FAILED_PREFLIGHT	false	pass	pass	pass	missing_not_measured	missing_not_measured	available_h1_only	missing_not_measured	missing_not_measured	missing_not_measured	missing_not_measured	not_measured_preflight_failed	not_measured_preflight_failed	0	0	not_measured_preflight_failed	not_measured_preflight_failed	not_materialized	not_materialized	not_materialized	not_measured	not_applicable_no_outputs	0	0	not_applicable_no_attempts	not_applicable_no_outputs	MISSING_EXACT_FINAL_SEQUENCE_QV;MISSING_H2_BUSCO;MISSING_KMER_COPY_NUMBER_AUDIT;MISSING_REPEAT_OR_LOW_COMPLEXITY_MASK
vgp10-20260718-preflight-v1	P05	FAILED_PREFLIGHT	false	pass	pass	pass	missing_not_measured	missing_not_measured	available_h1_only	missing_not_measured	missing_not_measured	missing_not_measured	missing_not_measured	not_measured_preflight_failed	not_measured_preflight_failed	0	0	not_measured_preflight_failed	not_measured_preflight_failed	not_materialized	not_materialized	not_materialized	not_measured	not_applicable_no_outputs	0	0	not_applicable_no_attempts	not_applicable_no_outputs	MISSING_EXACT_FINAL_SEQUENCE_QV;MISSING_H2_BUSCO;MISSING_KMER_COPY_NUMBER_AUDIT;MISSING_REPEAT_OR_LOW_COMPLEXITY_MASK
vgp10-20260718-preflight-v1	P06	FAILED_PREFLIGHT	false	pass	pass	pass	missing_not_measured	missing_not_measured	available_h1_only	missing_not_measured	missing_not_measured	missing_not_measured	missing_not_measured	not_measured_preflight_failed	not_measured_preflight_failed	0	0	not_measured_preflight_failed	not_measured_preflight_failed	not_materialized	not_materialized	not_materialized	not_measured	not_applicable_no_outputs	0	0	not_applicable_no_attempts	not_applicable_no_outputs	MISSING_EXACT_FINAL_SEQUENCE_QV;MISSING_H2_BUSCO;MISSING_KMER_COPY_NUMBER_AUDIT;MISSING_REPEAT_OR_LOW_COMPLEXITY_MASK
vgp10-20260718-preflight-v1	P07	FAILED_PREFLIGHT	false	pass	pass	pass	missing_not_measured	missing_not_measured	missing_not_measured	missing_not_measured	missing_not_measured	missing_not_measured	missing_not_measured	not_measured_preflight_failed	not_measured_preflight_failed	0	0	not_measured_preflight_failed	not_measured_preflight_failed	not_materialized	not_materialized	not_materialized	not_measured	not_applicable_no_outputs	0	0	not_applicable_no_attempts	not_applicable_no_outputs	MISSING_EXACT_FINAL_SEQUENCE_QV;MISSING_H1_BUSCO;MISSING_H2_BUSCO;MISSING_KMER_COPY_NUMBER_AUDIT;MISSING_REPEAT_OR_LOW_COMPLEXITY_MASK
vgp10-20260718-preflight-v1	P08	FAILED_PREFLIGHT	false	pass	pass	pass	missing_not_measured	missing_not_measured	missing_not_measured	missing_not_measured	missing_not_measured	missing_not_measured	missing_not_measured	not_measured_preflight_failed	not_measured_preflight_failed	0	0	not_measured_preflight_failed	not_measured_preflight_failed	not_materialized	not_materialized	not_materialized	not_measured	not_applicable_no_outputs	0	0	not_applicable_no_attempts	not_applicable_no_outputs	MISSING_EXACT_FINAL_SEQUENCE_QV;MISSING_H1_BUSCO;MISSING_H2_BUSCO;MISSING_KMER_COPY_NUMBER_AUDIT;MISSING_REPEAT_OR_LOW_COMPLEXITY_MASK
vgp10-20260718-preflight-v1	P09	FAILED_PREFLIGHT	false	pass	pass	pass	missing_not_measured	missing_not_measured	available_h1_only	missing_not_measured	missing_not_measured	missing_not_measured	missing_not_measured	not_measured_preflight_failed	not_measured_preflight_failed	0	0	not_measured_preflight_failed	not_measured_preflight_failed	not_materialized	not_materialized	not_materialized	not_measured	not_applicable_no_outputs	0	0	not_applicable_no_attempts	not_applicable_no_outputs	MISSING_EXACT_FINAL_SEQUENCE_QV;MISSING_H2_BUSCO;MISSING_KMER_COPY_NUMBER_AUDIT;UNRESOLVED_EXACT_READ_CHEMISTRY;MISSING_REPEAT_OR_LOW_COMPLEXITY_MASK
vgp10-20260718-preflight-v1	P10	FAILED_PREFLIGHT	false	pass	pass	pass	missing_not_measured	missing_not_measured	available_h1_only	missing_not_measured	missing_not_measured	missing_not_measured	missing_not_measured	not_measured_preflight_failed	not_measured_preflight_failed	0	0	not_measured_preflight_failed	not_measured_preflight_failed	not_materialized	not_materialized	not_materialized	not_measured	not_applicable_no_outputs	0	0	not_applicable_no_attempts	not_applicable_no_outputs	MISSING_EXACT_FINAL_SEQUENCE_QV;MISSING_H2_BUSCO;MISSING_KMER_COPY_NUMBER_AUDIT;MISSING_REPEAT_OR_LOW_COMPLEXITY_MASK
